Latitude,Longitude,Depth,Magnitude
30.3,70.49,10,3.9
36.65,71.56,10,3.4
39.91,72.49,30,3.6
36.52,70.04,225,4
36.5,70.76,200,4.9
36.1,68.05,80,4.2
29.46,89.53,187,3.6
27.61,92.71,10,3.6
29.6,89.6,150,3.8
12.33,78.72,30,3
23.28,81.73,10,3.9
36.72,71.65,10,3.8
28.28,67.01,10,4.2
31.53,90.42,10,4.3
39.31,77,12,3.1
28.1,66.47,10,4.3
36.16,70.49,27,3.8
30.82,71.24,23,4
37.62,72.91,100,3.8
35.36,72.54,10,4.2
32.28,93.26,10,4.3
31.99,92.84,10,4.8
31.28,93.02,10,3.8
37.56,66.59,10,4.3
26.95,89.33,10,3.9
26.28,88.68,5,3.7
21.61,94.52,10,3.6
26.72,89.04,10,4.1
27.55,95.54,39,2.7
27.23,88.84,10,5.1
32.69,76.59,5,2.8
32.63,76.32,14,2.4
36.66,76.17,10,4.4
26.57,93.89,24,2.9
35.97,69.73,60,4.2
37.45,73.28,90,4.7
35.93,66.16,10,4.1
27.62,92.65,5,2.2
32.68,76.48,10,3
34.12,87.81,100,4.3
23.87,92.92,28,3.8
36.66,71.48,11,4.1
37.36,71.17,90,4.5
39.21,72.65,135,4.3
28.82,76.72,10,2.4
37.36,72.21,150,4.2
25.7,91.39,5,2.8
34.93,73.63,10,3.4
34.86,73.42,10,3.5
34.41,76.08,10,3.1
27.99,87.55,10,3.6
34.47,87.69,10,5.6
25.56,91.91,10,3.2
26.24,95.48,100,3.9
7.71,91.3,10,4.1
36.18,77.38,10,4.1
27.57,92.69,10,2.6
27.78,64.67,30,4.4
31.96,92.97,40,3.8
27.36,92.63,6,2.8
35.56,89.32,63,4.1
27.55,92.66,10,5
36.27,70.58,180,3.7
32.47,93.54,200,4
36.51,71.04,150,4.5
35.37,91.17,50,4.3
31.2,84.09,150,4.2
34.58,76.84,30,3.5
19.18,73.95,8,2.4
36.86,75.99,10,3.7
36.58,71.44,10,3.8
37.46,72.95,30,3.6
36.77,71.71,13,4.4
24.14,93.88,40,2.8
36.41,68.01,10,4.1
34.81,70.68,10,3.8
33.64,76.28,10,3
20.17,94.26,10,3.8
25.24,95.02,10,3.3
31.9,92.79,40,4.4
26,90.48,10,2.7
31.52,84.9,200,3.9
32.739,70.177,10,4.2
31.81,90.49,150,3.9
26.64,92.45,10,3.1
26.53,92.58,25,4.1
25.85,95.08,10,4.2
36.42,71.37,10,3.8
32.15,93.47,10,3.8
22.66,91.79,10,3.5
23.01,93.12,17,3.3
34.63,83.49,42,4.7
36.95,71.33,160,4.6
38.34,74.11,10,3.6
28,88.92,75,3.5
32.42,93.94,80,3.8
32.83,73.65,10,3.6
31.79,93.05,79,4.2
31.78,92.81,100,5.8
37.91,71.5,140,4.7
27.75,85.71,10,3.6
30.08,86.39,10,4.1
26.08,94.4,18,3.5
36.37,71.12,10,3.8
26.91,89.21,5,3.8
34.99,73.48,10,3.4
38.13,73.52,10,3.8
16.45,94.46,50,3.8
37.57,69.78,30,4.5
26.36,90.13,10,2.8
28.62,66.59,10,4
26.13,92.71,5,3.1
27.4,87.98,10,3.7
35.08,72.13,10,3.9
23.91,94.29,20,3.1
22.75,94.51,50,3.3
36.35,70.85,41,4.3
27.38,88.76,15,2.1
24.1,93.38,50,2.8
26.25,95.23,80,3.2
26.38,95.98,110,3.6
27.1,90.48,6,2.7
22.48,95.81,10,3.8
36.49,71.56,41,3.8
22.14,78.64,20,2.8
32.7,76.62,5,3.4
36.34,70.8,180,4.5
32.72,76.6,5,2.8
36.49,72.4,230,3.9
27.2,92.37,10,2.8
25.36,94.74,60,4.7
32.64,76.5,10,3.5
36.12,72.16,10,4.3
25.29,94.97,97,4
32.95,75.83,5,3.5
32.92,75.88,5,3.6
38.68,73.67,10,4
36.52,71.65,10,4
33.03,73.6,10,3.8
38.98,70.17,10,3.3
35.01,78.18,10,3.5
34.04,79.37,10,3.7
33,75.86,5,2.9
36.5,71.17,200,4.4
37.5,72.44,150,4.3
36.63,69.31,38,4.4
39,72.84,10,3.4
34.53,79.04,10,3.6
39.82,70.95,10,4.2
36.2,69.6,150,4.3
36.55,70.95,217,3.8
37.56,68.55,90,3.8
37.01,71.47,82,4.2
31.38,86.83,10,3.6
25.17,95.31,10,2.6
27.69,91.8,10,2.8
36.25,71.51,110,4.3
37.47,72.43,17,3.7
39,75.16,10,3.5
26.78,93.05,15,2.7
26.41,92.29,15,2.9
6.91,94.62,90,4.2
24.69,93.11,25,3.7
21.51,94.9,10,3.6
28.69,87.98,20,3.9
28.91,86.65,100,4.1
36.16,70.96,90,3.8
38.63,71.99,10,3.6
36.38,71.55,125,4.3
23.03,94.12,10,3
37.16,72.66,10,4.5
36.42,71.98,10,3.8
26.19,92.05,30,3.6
22.79,96.05,30,3.9
35.875,71.393,100,4.3
22.99,95.47,19,4.1
23.02,95.64,17,3.6
25.21,94.37,48,3.3
22.53,96.48,10,4.2
22.91,95.81,10,4.5
36.45,71.85,24,3.6
32.85,76.22,5,2.4
32.32,76.29,5,2.2
25.89,64.78,37,4.3
19.95,91.03,24,4.8
26.02,95.45,83,4.2
37.4,75.89,10,4
28.72,77,10,1.9
23.98,94.1,94,3.4
27.42,92.65,10,2.6
26.298,92.896,10,2.8
36.484,70.684,155,3.9
37.63,69.18,10,3.9
24.87,94.89,5,2.8
37.37,70.09,74,3.8
28.2,88.16,10,3.7
37.86,72.59,10,3.6
28.6,68.91,140,5
37.25,71.5,10,3.7
23.44,94.38,105,4.3
32.64,76.2,5,2.8
27.9,87.3,10,3.4
24.1,93.58,5,2.4
29.88,80.29,8,4
28.21,87.25,55,3.4
25.55,91.96,50,2.8
36.73,71.69,10,3.8
23.59,94.56,50,3.7
27.15,88.97,5,2.6
34.54,69.19,110,4.3
36.61,71.58,110,3.6
36.62,74.56,10,3.7
17.75,73.55,6,3.3
31.07,78.06,5,2.2
36.71,71.01,220,4.4
36.73,71.31,20,3.6
26.71,92.63,10,4.7
34.44,69.55,180,4.6
12.04,94.78,10,4.2
34.43,77.68,5,3.5
35.53,68.94,10,3.9
25.41,85.35,5,3.5
9.42,93.48,10,4.1
37.62,73.12,50,4.3
25.32,93.83,30,3.4
36.443,70.309,266,4.2
1.03,98.59,10,4.7
22.02,93.79,10,3.5
28.57,87.39,67,3.6
28.91,76.99,5,2.7
31.32,76.87,10,3.2
36.34,71.2,100,3.9
28.27,93.39,10,2.9
37.98,72.58,110,3.9
38,73.58,74,6.3
38.32,73.66,100,4.5
30.1,69.7,290,4.3
37,72.32,234,4.7
22.814,94.524,50,3.7
36.78,70.61,97,4.9
39.55,73.74,10,3.6
23.7,93.1,30,3.1
36.13,71.39,160,4.4
36.05,71.87,200,4.3
36.41,71.19,50,3.5
27.95,87.91,90,4.5
26.99,92.54,5,2.3
36.87,71.97,10,3.9
36.57,71.39,139,3.9
26.57,93.14,30,3.7
39.51,71.55,10,3.6
29.44,74.4,24,3.5
34.22,73.61,30,3.5
39.27,74.29,10,4
37.9,93.3,10,4.2
28.95,73.52,5,3.5
20.98,97.66,10,4.5
36.55,70.5,10,3.7
29.01,77.28,5,1.8
29.03,86.55,10,3.9
27.86,88.14,10,4
36.4,77.09,10,4.6
28.62,87.38,124,4.8
36.53,70.66,10,4.2
23.45,94.21,5,3.4
4.94,95.76,10,4
39.34,71.91,63,3.6
34.33,78.3,10,4.5
36.35,70.87,138,4.2
36.06,76.25,10,4.2
28.66,84.09,40,4.2
36.08,69.45,10,4.3
36.73,71.07,10,4.2
37.17,71.5,169,4.6
28.75,87.45,151,4.9
36.35,71.37,10,4.1
24.84,94.35,35,4
36.62,71.58,16,3.9
26.28,95.73,110,3.6
39.53,72.43,10,3.5
19.53,77.13,5,3.2
26.85,93.31,30,2.7
19.56,77.67,10,3.4
28.36,89.76,10,4
39.68,74.78,10,3.4
32.222,76.418,10,2.8
28.66,77.13,15,2.8
25.96,95.66,16,3.5
38.38,71.84,150,3.7
35.36,73.71,16,3.6
26.27,95.69,10,3.8
28.73,76.92,10,2.7
18.33,73.91,12,2.6
25.14,93.87,15,3.3
28.59,77.01,5,1.9
27.51,93.21,11,3.5
37.08,71.57,90,5.3
27.79,95.04,10,3
39.65,73.238,10,3.2
36.77,68.12,230,4.5
26.42,93.41,5,2.3
24.34,94.95,21,3.9
28.6,77,5,1.9
36.36,71.25,188,3.8
24.84,94.72,10,2.8
36.48,70.82,203,4.4
36.53,77,156,4.2
36.31,70.22,10,3.7
22.02,94.5,10,3.5
36.63,72.42,67,3.8
36.55,72.74,110,4.3
37.84,72.26,195,3.9
34.3,74.53,5,3.6
39.96,77.11,10,3.6
36.39,71.02,10,4
7.62,94.72,120,4.5
36.12,69.51,10,3.7
35.3,73.59,34,3.8
24.31,93.75,28,2.7
34.61,80.896,221,3.6
20.03,72.82,5,3.5
24.29,96.77,10,3.7
37.48,75.11,10,3.5
26,96.53,10,3.9
23.62,93.5,25,3.2
23.65,93.46,55,4.4
35.94,71.12,200,5.3
33.03,75.93,10,4.1
36.42,72.22,100,3.8
1.26,96.42,10,4.3
24.96,93.24,15,4.2
28.86,77.49,5,2.9
22.64,94.58,98,3.8
36.38,70.25,163,3.8
37.3,72.34,135,4.3
19.68,90.75,118,4.3
36.37,71.14,250,4.5
33.34,75.47,5,5.1
33.22,75.58,5,3.8
36.47,70.6,150,4.2
36.49,70.75,147,4.5
27.21,89.92,10,3.1
37.35,72.23,220,4.2
36.75,71.39,230,3.9
22.93,94.22,50,3.5
37.39,72.04,85,3.7
32.31,76.3,10,4.2
30.79,78.58,10,3.3
20.13,84.25,5,3.2
36.47,71.46,10,3.6
37.16,71.34,130,4.1
29.85,79.77,10,3.3
22.56,69.65,20,2.7
6.99,93.91,72,4.4
37.17,72.09,99,3.9
23.06,94.26,32,3.7
26.95,92.93,8,2.5
32.35,76.61,5,3.2
34.28,74.52,5,3.5
26.21,90.94,5,2.5
26.52,93.03,10,2.8
35.89,70.17,250,4.1
20.095,72.928,5,2.4
32.51,76.4,30,2.6
